postcode,amenity_bank_3km
24184,0
23891,0
24251,0
24458,0
24261,0
24382,0
24377,0
24151,0
24188,0
23763,0
24161,0
24452,0
24655,0
24654,0
23711,0
24473,0
23752,0
23371,0
23351,3
24653,0
24673,0
23772,0
24553,0
24651,0
24373,0
23893,0
24391,0
23653,0
24173,0
24392,0
24352,0
24313,0
23652,0
24264,0
23754,0
24393,0
23661,0
24454,0
24453,0
23662,0
24410,0
24386,0
24376,0
23682,0
23654,0
23671,0
24385,0
24166,0
24472,0
24457,0
24455,0
23232,6
24415,0
24394,0
24357,0
23656,0
24262,0
23951,0
24381,0
24471,0
24263,0
23767,0
23681,0
24187,0
24152,0
24375,0
23764,0
24356,0
24411,0
23657,0
23116,0
23766,2
24371,0
23762,1
23391,0
24456,0
23362,0
24165,0
24661,0
24476,0
23774,0
24671,0
24474,0
23773,0
24478,0
24784,0
23771,0
24477,0
23892,0
23894,0
24582,0
24183,0
23361,0
23363,0
23514,0
23373,0
23524,0
24563,0
23761,0
24163,0
24182,0
23372,0
24561,0
24461,0
24562,0
24416,0
24791,0
24512,0
24513,0
23234,3
23244,8
23245,8
23241,8
23353,0
24552,0
24568,0
24571,0
24652,0
23758,0
23917,0
23672,0
24581,0
24786,0
23765,17
24171,0
24172,0
23615,0
23525,0
24164,0
24351,3
23126,5
24354,0
24167,0
24782,0
24372,0
23354,0
23911,0
23757,0
23517,0
24153,0
23352,3
24112,0
24656,0
23381,0
24186,0
23527,0
23124,7
24374,0
23235,3
24111,0
23618,0
23248,7
23753,0
24181,0
23233,7
24119,0
24174,0
24412,0
24118,0
24114,0
24519,0
23919,0
24475,0
24162,0
24185,0
23117,4
24783,0
23523,0
23522,0
23246,2
24355,0
23918,0
23617,0
23236,0
23611,0
23655,0
23128,5
23683,0
23239,4
24785,0
23717,0
23714,0
23518,0
23521,0
23755,0
23119,2
23526,0
23915,0
23716,0
23912,0
23114,6
24518,0
24115,0
23242,8
24678,0
24315,14
24515,0
23129,6
23528,0
23111,2
23511,0
23125,6
23512,0
23513,0
23776,0
23515,0
23121,2
23614,0
23122,6
23238,5
23952,0
23127,7
23118,6
23115,4
23231,6
23247,7
23230,3
23712,0
23715,0
23718,0
24314,14
24517,0
24413,0
24516,0
23123,5
23243,9
23713,0
23612,0
24113,0
24116,0
24414,0
23516,0
23529,0
23112,4
23616,0
24451,0
23249,8
24514,0
24511,0
23913,0
24311,14
23613,0
22881,0
22912,0
22261,0
21455,0
22461,0
21183,0
20773,0
20986,0
22774,0
21274,0
21273,0
22753,0
22762,0
22742,0
21464,0
22733,3
22312,0
22755,0
22617,0
22564,0
22654,0
22983,0
22976,0
21187,0
22454,0
21461,0
22773,0
22533,0
