"","Feature","Gain","Cover","Frequency"
"1","max_worstDPDBucket_CC",0.202960887827763,0.201469190424031,0.0993788819875776
"2","loan_amt_Individual",0.0988097859961385,0.0336015889366955,0.0807453416149068
"3","Bureau_tenure_noBankBPR",0.0748370226723149,0.140605954398377,0.0807453416149068
"4","loan_amt_last_3yr",0.0556322083894202,0.0346044869106263,0.0559006211180124
"5","loan_amt_last_3m",0.0499095317453641,0.0222620920831251,0.0248447204968944
"6","Amt_BL_last_9m",0.048351502136191,0.0469561196525841,0.0372670807453416
"7","tsl_bank",0.0482084605637339,0.0119319014202898,0.0372670807453416
"8","Num_BL_last_18m",0.0458645602234063,0.0498099103786407,0.0434782608695652
"9","num_internal",0.0427739877656906,0.0382017929924743,0.0372670807453416
"10","tsl_noBankBPR",0.0372447715964503,0.0362981238427379,0.0186335403726708
"11","tsl_HL",0.0364403634474523,0.0404262315214777,0.0434782608695652
"12","tot_outs_amt_external",0.0257786792923558,0.0144989191217583,0.0372670807453416
"13","num_bank",0.0243250911881209,0.0513615990205746,0.0496894409937888
"14","Num_CC_last_5yr",0.0230260007610707,0.0215311431336048,0.0248447204968944
"15","Amt_Live_last_2yr",0.0215343289204741,0.0141018712977944,0.031055900621118
"16","Amt_Individual_last_6m",0.0161915888010891,0.00180622269735301,0.0062111801242236
"17","Amt_Live_last_1yr",0.0158918732580313,0.00516729461891815,0.0186335403726708
"18","tsl_live",0.0144392215295742,0.00707647791290978,0.0186335403726708
"19","num_Live",0.014007144885405,0.00854180376130403,0.0186335403726708
"20","Amt_BL_last_2yr",0.0138347992164007,0.0702781054127274,0.0434782608695652
"21","Num_Other_last_9m",0.0115476898212941,0.0170080309991095,0.0124223602484472
"22","num_loans",0.0104877639642425,0.0219646177808814,0.0248447204968944
"23","Bureau_tenure_Other",0.00982048686578332,0.0143869894688332,0.0186335403726708
"24","Num_delq_5_plus_last_1yr",0.0083033616291319,0.00736389207738089,0.0124223602484472
"25","Num_Live_last_2yr_to_3yr",0.00712666792794675,0.0237235038546202,0.0248447204968944
"26","Num_delq_5_plus_last_18m",0.0059077463621289,0.0114443017649902,0.0186335403726708
"27","loan_amt_last_5yr",0.00580536339868444,0.0039858673338811,0.0124223602484472
"28","Amt_Live_last_18m",0.00547136878766518,0.00332193047620129,0.0062111801242236
"29","Amt_paid_off_bank",0.0053278384299178,0.0146235206951043,0.0124223602484472
"30","Amt_sanct_CC_last_3yr",0.00528905041857406,0.00546676913986295,0.0124223602484472
"31","Amt_Live_last_9m",0.00456337977903872,0.00831729655184314,0.0124223602484472
"32","max_worstDPDBucket",0.00451692807396202,0.010862858864065,0.0124223602484472
"33","Amt_BL_last_3yr",0.00428616390038212,0.00203331172922355,0.0062111801242236
"34","Amt_Individual_last_18m",0.00148438042480137,0.00496627972599914,0.0062111801242236
